nor,timestamps,MJD_timestamps
1.9359722698547124,-1429.161314,58816.606098781085
-0.9010937302443907,-1428.161314,58816.60611035516
1.167762475310447,-1427.161314,58816.60612192924
-0.38469034770342825,-1426.161314,58816.60613350331
0.28261609434069423,-1425.161314,58816.606145077385
-0.957253331621169,-1424.161314,58816.60615665146
0.15990756044446647,-1423.161314,58816.60616822553
-0.022585177429409662,-1422.161314,58816.60617979961
-1.357689705458644,-1421.161314,58816.60619137368
-1.6382053860036099,-1420.161314,58816.606202947754
-0.4393403118125863,-1419.161314,58816.60621452183
-0.9489953189066193,-1418.161314,58816.6062260959
0.9980210388286412,-1417.161314,58816.60623766998
-0.1995776398252681,-1416.161314,58816.606249244054
1.2778055077998374,-1415.161314,58816.606260818124
-0.5902804178267765,-1414.161314,58816.6062723922
-0.45745256788794086,-1413.161314,58816.60628396627
-0.5202003432838296,-1412.161314,58816.60629554035
-0.14244707545523627,-1411.161314,58816.60630711442
-1.3155358854349841,-1410.161314,58816.60631868849
1.4112372161960505,-1409.161314,58816.60633026257
0.2977809593705818,-1408.161314,58816.60634183665
-0.4534733202055581,-1407.161314,58816.606353410716
-0.5238617491762689,-1406.161314,58816.60636498479
-0.7845704572879616,-1405.161314,58816.60637655886
2.721773493363881,-1404.161314,58816.60638813294
0.4544680759654873,-1403.161314,58816.606399707016
-0.660780589973598,-1402.161314,58816.606411281085
-0.8908595511852985,-1401.161314,58816.60642285516
0.9372243562868819,-1400.161314,58816.60643442924
-0.9962729951935728,-1399.161314,58816.60644600331
-0.13554803994644796,-1398.161314,58816.606457577385
0.7187493281425269,-1397.161314,58816.606469151455
0.11084574320684769,-1396.161314,58816.60648072553
-2.337964049438947,-1395.161314,58816.60649229961
0.5196200477149204,-1394.161314,58816.60650387368
-1.2678345080174924,-1393.161314,58816.606515447755
-0.33016088776377306,-1392.161314,58816.60652702183
-0.5728841364540265,-1391.161314,58816.6065385959
0.2628143433535034,-1390.161314,58816.60655016998
-0.44505324455277795,-1389.161314,58816.606561744054
1.1705374648504125,-1388.161314,58816.606573318124
0.32122845088257757,-1387.161314,58816.6065848922
0.29361274063992737,-1386.161314,58816.60659646627
-0.8998953318200787,-1385.161314,58816.60660804035
0.5588626455562768,-1384.161314,58816.606619614424
1.0564055711159843,-1383.161314,58816.60663118849
-0.1886907606947953,-1382.161314,58816.60664276257
-1.0614848992625487,-1381.161314,58816.60665433665
-0.04243074048310866,-1380.161314,58816.60666591072
0.36547209001605413,-1379.161314,58816.60667748479
-0.39612307586679785,-1378.161314,58816.60668905886
0.34853388157121323,-1377.161314,58816.60670063294
0.1445832334653849,-1376.161314,58816.606712207016
-0.9093806549088755,-1375.161314,58816.606723781086
0.05164362728728306,-1374.161314,58816.60673535516
-0.10449505498783417,-1373.161314,58816.60674692924
-1.1254490159381727,-1372.161314,58816.60675850331
0.15272823559952856,-1371.161314,58816.606770077386
-2.3565004828550813,-1370.161314,58816.606781651455
0.024473225709827275,-1369.161314,58816.60679322553
-1.072433925838189,-1368.161314,58816.60680479961
-1.2635757611931773,-1367.161314,58816.60681637368
-1.079195512329419,-1366.161314,58816.606827947755
-1.4245610235674837,-1365.161314,58816.60683952183
-1.650663570634596,-1364.161314,58816.6068510959
0.5864472799897378,-1363.161314,58816.60686266998
-0.1713732688251337,-1362.161314,58816.60687424405
0.665344692054001,-1361.161314,58816.606885818124
-0.7545789354732704,-1360.161314,58816.6068973922
-0.19570268720160625,-1359.161314,58816.60690896627
0.32430010469535303,-1358.161314,58816.60692054035
0.004681500221532191,-1357.161314,58816.606932114424
0.5203861984864405,-1356.161314,58816.60694368849
-0.2574089906358104,-1355.161314,58816.60695526257
0.5359467837620092,-1354.161314,58816.60696683664
0.46929281762462366,-1353.161314,58816.60697841072
-0.049714852635557485,-1352.161314,58816.60698998479
-0.20287353411102485,-1351.161314,58816.60700155886
1.6624083303990607,-1350.161314,58816.60701313294
0.31797370982342116,-1349.161314,58816.60702470702
-1.00618614441379,-1348.161314,58816.607036281086
-0.9748486182423569,-1347.161314,58816.60704785516
0.21939793398083393,-1346.161314,58816.60705942924
-0.016527264273749367,-1345.161314,58816.60707100331
-0.19788045536309792,-1344.161314,58816.607082577386
-1.0722413502068062,-1343.161314,58816.607094151455
0.05269308725645903,-1342.161314,58816.60710572553
-2.114107894927994,-1341.161314,58816.60711729961
-1.8407013509105699,-1340.161314,58816.60712887368
0.2502111805115659,-1339.161314,58816.607140447755
-0.4655873075671674,-1338.161314,58816.60715202183
-1.5357824580014658,-1337.161314,58816.6071635959
-0.9733120429346129,-1336.161314,58816.60717516998
-0.08733507276514109,-1335.161314,58816.60718674405
0.5980403160426745,-1334.161314,58816.607198318125
-0.813066025687688,-1333.161314,58816.6072098922
-0.11867356305928291,-1332.161314,58816.60722146627
0.6500421989007911,-1331.161314,58816.60723304035
-0.18694829707881322,-1330.161314,58816.607244614424
-0.4460189228633985,-1329.161314,58816.607256188494
-0.5910949286846864,-1328.161314,58816.60726776257
0.846401215108866,-1327.161314,58816.60727933664
0.039226902034157386,-1326.161314,58816.60729091072
-0.5578653838374044,-1325.161314,58816.607302484794
-0.07374139185080066,-1324.161314,58816.60731405886
0.008906171766123561,-1323.161314,58816.60732563294
-0.1168445338060436,-1322.161314,58816.60733720702
-1.7715654572168504,-1321.161314,58816.607348781086
-0.9719960968136832,-1320.161314,58816.60736035516
0.5543461390436809,-1319.161314,58816.60737192923
-0.09651144990765992,-1318.161314,58816.60738350331
1.0719209727808343,-1317.161314,58816.607395077386
